id,datasetcycle_id,is_download,status,last_synced_at,source_file_version,source_file_size,chk_raw,chk_normalization,system_version,time_download,time_raw,time_normalization,records_raw,records_normalization,n_samples,n_variables,cycle,dataset
79,79,False,standby,2024-08-16 12:25:52.556935+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DR1TOT
80,80,False,standby,2024-08-16 12:25:52.563126+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DR1TOT
81,81,False,standby,2024-08-16 12:25:52.567553+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DR2TOT
82,82,False,standby,2024-08-16 12:25:52.572019+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DR2TOT
83,83,False,standby,2024-08-16 12:25:52.579522+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DR2TOT
84,84,False,standby,2024-08-16 12:25:52.586137+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DR2TOT
85,85,False,standby,2024-08-16 12:25:52.592644+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DR2TOT
86,86,False,standby,2024-08-16 12:25:52.599583+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DR2TOT
87,87,False,standby,2024-08-16 12:25:52.606472+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DR2TOT
88,88,False,standby,2024-08-16 12:25:52.613023+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DR2TOT
89,89,False,standby,2024-08-16 12:25:52.620685+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DR2TOT
90,90,False,standby,2024-08-16 12:25:52.626648+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DR2TOT
91,91,False,standby,2024-08-16 12:25:52.634474+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DRXFCD
92,92,False,standby,2024-08-16 12:25:52.639712+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DRXFCD
93,93,False,standby,2024-08-16 12:25:52.646313+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DRXFCD
94,94,False,standby,2024-08-16 12:25:52.653052+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DRXFCD
95,95,False,standby,2024-08-16 12:25:52.659563+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DRXFCD
96,96,False,standby,2024-08-16 12:25:52.665774+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DRXFCD
97,97,False,standby,2024-08-16 12:25:52.672012+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DRXFCD
98,98,False,standby,2024-08-16 12:25:52.679520+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DRXFCD
99,99,False,standby,2024-08-16 12:25:52.686192+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DRXFCD
100,100,False,standby,2024-08-16 12:25:52.692678+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DRXFCD
101,101,False,standby,2024-08-16 12:25:52.699294+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DSBI
102,102,False,standby,2024-08-16 12:25:52.705896+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DSBI
103,103,False,standby,2024-08-16 12:25:52.712878+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DSBI
104,104,False,standby,2024-08-16 12:25:52.720653+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DSBI
105,105,False,standby,2024-08-16 12:25:52.727738+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DSBI
106,106,False,standby,2024-08-16 12:25:52.733908+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DSBI
107,107,False,standby,2024-08-16 12:25:52.740414+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DSBI
108,108,False,standby,2024-08-16 12:25:52.747717+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DSBI
109,109,False,standby,2024-08-16 12:25:52.754425+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DSBI
110,110,False,standby,2024-08-16 12:25:52.761856+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DSBI
111,111,False,standby,2024-08-16 12:25:52.767024+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DSII
112,112,False,standby,2024-08-16 12:25:52.771697+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DSII
113,113,False,standby,2024-08-16 12:25:52.778098+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DSII
114,114,False,standby,2024-08-16 12:25:52.785407+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DSII
115,115,False,standby,2024-08-16 12:25:52.792626+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DSII
116,116,False,standby,2024-08-16 12:25:52.799597+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DSII
117,117,False,standby,2024-08-16 12:25:52.806460+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DSII
118,118,False,standby,2024-08-16 12:25:52.814289+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DSII
119,119,False,standby,2024-08-16 12:25:52.821394+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DSII
120,120,False,standby,2024-08-16 12:25:52.828062+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DSII
121,121,False,standby,2024-08-16 12:25:52.835197+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DSPI
122,122,False,standby,2024-08-16 12:25:52.880493+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DSPI
123,123,False,standby,2024-08-16 12:25:52.885426+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DSPI
124,124,False,standby,2024-08-16 12:25:52.890023+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DSPI
125,125,False,standby,2024-08-16 12:25:52.895378+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DSPI
126,126,False,standby,2024-08-16 12:25:52.900249+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DSPI
127,127,False,standby,2024-08-16 12:25:52.903943+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DSPI
128,128,False,standby,2024-08-16 12:25:52.906839+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DSPI
129,129,False,standby,2024-08-16 12:25:52.910840+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DSPI
130,130,False,standby,2024-08-16 12:25:52.916022+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DSPI
131,131,False,standby,2024-08-16 12:25:52.920143+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DS1IDS
132,132,False,standby,2024-08-16 12:25:52.922976+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DS1IDS
133,133,False,standby,2024-08-16 12:25:52.927608+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DS1IDS
134,134,False,standby,2024-08-16 12:25:52.930925+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DS1IDS
135,135,False,standby,2024-08-16 12:25:52.934326+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2007-2008,DS1IDS
136,136,False,standby,2024-08-16 12:25:52.937771+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2009-2010,DS1IDS
137,137,False,standby,2024-08-16 12:25:52.940392+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2011-2012,DS1IDS
138,138,False,standby,2024-08-16 12:25:52.943819+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2013-2014,DS1IDS
139,139,False,standby,2024-08-16 12:25:52.946514+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2015-2016,DS1IDS
140,140,False,standby,2024-08-16 12:25:52.950283+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2017-2018,DS1IDS
141,141,False,standby,2024-08-16 12:25:52.953147+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,1999-2000,DS2IDS
142,142,False,standby,2024-08-16 12:25:52.955769+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2001-2002,DS2IDS
143,143,False,standby,2024-08-16 12:25:52.959559+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2003-2004,DS2IDS
144,144,False,standby,2024-08-16 12:25:52.963953+00:00,,0,False,False,0.1.4,0,0,0,0,0,0,0,2005-2006,DS2IDS
